"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G50400",188.551184793298,7.56029246458193,0.777692616731066,9.72144045337691,2.44300700693418e-22,3.30340353718881e-20
"AT5G24080",110.515592510018,4.83986108649397,0.49825117302256,9.71369732485273,2.63597943887753e-22,3.54219969938605e-20
"AT5G23840",184.364305622465,-3.94466437290941,0.406442023418874,-9.70535561192229,2.86076965080777e-22,3.82054020958186e-20
"AT2G36270",732.876993733509,2.23408913912538,0.230631101154879,9.68685111391412,3.42938887806915e-22,4.55182996178074e-20
"AT4G36700",227.621597153126,3.95686163120138,0.409091841528054,9.67230638582664,3.95365730512053e-22,5.2156936461148e-20
"AT1G69480",172.892843901409,3.45284779261779,0.359311295598243,9.60962773761089,7.28117482711264e-22,9.54716468997467e-20
"AT1G12010",656.598594470401,-2.34318414399547,0.244271340347139,-9.59254630799311,8.59374810161671e-22,1.12003457938842e-19
"AT1G32560",890.501878104628,2.61931337889217,0.275680160800924,9.50127630251803,2.07333336106478e-21,2.68602199201417e-19
"AT1G47980",391.953932920457,2.83599304702983,0.300753455682484,9.42962746876593,4.11548016750545e-21,5.29990556095121e-19
"AT3G03620",209.054196444001,3.96692806021823,0.423350096383129,9.37032516139594,7.23094158225514e-21,9.25688882438402e-19
"AT3G14260",107.441647285662,-4.35715517054844,0.468626385524349,-9.29771627278988,1.43494556291264e-20,1.82617925021264e-18
"AT4G35190",351.736641371638,2.50127197841357,0.269194081112069,9.29170495904129,1.51836319277803e-20,1.9210402149563e-18
"AT4G35300",2219.4158206887,2.09818523280697,0.226301969858338,9.27161718530513,1.83344645706702e-20,2.30619849410727e-18
"AT2G23240",143.49272225596,3.77721194732117,0.407948260559558,9.25904658139785,2.06265739227234e-20,2.57951402785041e-18
"AT3G22600",2471.21746406215,2.33288245536169,0.252824817340356,9.22726842998617,2.77621222321159e-20,3.45191674995303e-18
"AT5G39720",105.64596392188,5.7013791420442,0.619232737304249,9.20716686728228,3.34845914467343e-20,4.13965220542913e-18
"AT3G51860",863.021569218525,2.13026752002661,0.232454791867418,9.16422287066305,4.99052477116297e-20,6.13465928546085e-18
"AT4G21650",233.614636002199,4.02014892979936,0.43891445737509,9.15929940845807,5.22353274342047e-20,6.38480965558767e-18
"AT2G22122",241.479298152076,-2.9901976507087,0.327692800509185,-9.12500258187663,7.17345488369883e-20,8.71897170836091e-18
"AT5G23830",234.972344185587,-3.05500104910115,0.335580004089596,-9.10364447187235,8.7350369953822e-20,1.05576829829661e-17
"AT5G50240",221.946512067298,2.74001635539601,0.302706897959693,9.05171429479899,1.40741141812679e-19,1.69163033506517e-17
"AT4G27530",100.970451881653,4.42497546077064,0.489319453527803,9.04312188871359,1.52259945173896e-19,1.81996901316975e-17
"AT5G13900",115.790991773637,6.52637823854146,0.724914775075269,9.00295933113491,2.19713748439977e-19,2.61181700412027e-17
"AT1G53470",421.524209274414,2.27025013450213,0.25238822315266,8.99507158513076,2.36078315676655e-19,2.79101331129203e-17
"AT2G25890",948.141398833773,3.03293224990898,0.339767501946653,8.92649306520548,4.39727082417438e-19,5.17037795005504e-17
"AT4G19810",414.886727206143,2.9629882902307,0.332332530559805,8.91573354326653,4.84597520923952e-19,5.66717154875119e-17
"AT5G26010",271.597767204964,2.62447079844235,0.294749220447876,8.9040805416022,5.38303580630648e-19,6.26139675642154e-17
"AT4G30460",333.927746162367,2.38972984619602,0.269031913135837,8.88270026533776,6.52566216854774e-19,7.50971813917715e-17
"AT1G62510",1388.80753812866,2.98703707359093,0.336924275418221,8.86560361340291,7.60907186501932e-19,8.7100655520257e-17
"AT5G64210",111.950331678954,4.2091252409996,0.474801708926174,8.86501704157529,7.64923713836322e-19,8.7100655520257e-17
"AT2G33070",445.773704218041,2.2548906038439,0.254808817465362,8.84934291628436,8.8036080296168e-19,9.97204501155808e-17
"AT2G39050",638.789224825104,2.10168181268061,0.238292404822597,8.81975996778101,1.14705341629297e-18,1.29252607611971e-16
"AT3G22490",98.3232690700217,5.42066464249683,0.617703637633575,8.77551031310649,1.70130595533989e-18,1.90713753076572e-16
"AT2G40370",96.7298460456536,5.99610854472049,0.683482946713125,8.77287220340437,1.74165666073843e-18,1.94230628118949e-16
"AT5G51760",114.033649541554,4.37482153877322,0.500569026245571,8.73969684378154,2.33736789602053e-18,2.5932797143797e-16
"AT2G41870",465.496436014838,2.36263752238436,0.270569793592648,8.73208162305581,2.50027675923847e-18,2.75987182072063e-16
"AT1G52200",239.680275185371,-2.81640002739567,0.323120913480309,-8.71624184600262,2.8758865194397e-18,3.15836572832883e-16
"AT5G65990",1142.31758540281,2.02226459909472,0.232185251906293,8.70970306034288,3.0467185444076e-18,3.32907857112416e-16
"AT3G24300",125.346699861578,-3.60552547780557,0.414887752378439,-8.69036373606131,3.61280905140717e-18,3.92779516719569e-16
"AT1G19230",210.752126455413,2.92620887067812,0.33700422150991,8.68300360620875,3.85452163596967e-18,4.16962877971019e-16
"AT4G05100",385.002526350824,2.364144403393,0.273036529734212,8.65871099993242,4.77128789372029e-18,5.1131536454692e-16
"AT5G59090",1299.33256224624,-2.037270046458,0.235287370766557,-8.65864597755778,4.77400987466965e-18,5.1131536454692e-16
"AT1G70260",160.214004367914,-7.73184785428607,0.894496076007221,-8.64380298770998,5.43722754976955e-18,5.79479891819035e-16
"AT2G31980",4607.99776803608,2.02024254971263,0.234092889958747,8.63008932081896,6.13040805818128e-18,6.5015381538604e-16
"AT3G01260",120.71071931162,-6.90280610655175,0.800402419358606,-8.62416946725778,6.45594581736166e-18,6.81338476871315e-16
"AT1G32450",2432.11119615188,-2.04872700397183,0.238625473565157,-8.58553352818143,9.04158294295407e-18,9.49585664906851e-16
"AT1G21100",177.916717674271,-3.69062003340824,0.430418173491702,-8.57449861716724,9.95193809514779e-18,1.04014580042764e-15
"AT3G46230",346.177224567218,2.36116820265259,0.275750256341715,8.56270537687765,1.10249409280739e-17,1.14675287009077e-15
"AT3G09910",230.107029585499,2.6854582714609,0.313912838257623,8.55478955995101,1.18083952333234e-17,1.22236665489451e-15
"AT3G62090",607.970954204026,2.45740273433206,0.288709623454661,8.51167586631543,1.71437259396802e-17,1.76621195573801e-15
"AT4G25140",691.78283133745,2.77608770522936,0.326260373249233,8.50881054779117,1.75726691590779e-17,1.80182320974715e-15
"AT4G39675",510.042345411086,-2.70281111715783,0.31789489401758,-8.50221619793729,1.86004979810778e-17,1.8982159142482e-15
"AT4G21320",537.731173850771,2.10367058920331,0.248777245250875,8.45604101404814,2.76608351477278e-17,2.78345194614461e-15
"AT3G07250",126.006440805326,3.28375422785831,0.389403104704934,8.43278902551775,3.37522872465465e-17,3.3806978452733e-15
"AT1G68850",82.1506695983918,5.33022365100566,0.638871135946611,8.34319059211823,7.23124784096476e-17,7.20958742116463e-15
"AT5G13200",303.062109532501,2.56901348211862,0.308374463447623,8.3308243276602,8.02813824503059e-17,7.96737481335949e-15
"AT3G09220",801.013161231828,-2.11618588990246,0.254258613219008,-8.32296638100386,8.57887847799344e-17,8.4365470850631e-15
"AT5G14130",77.7074128517583,4.64798677938628,0.558613443555282,8.32057809028776,8.7535317676448e-17,8.56935112185499e-15
"AT2G48140",118.020449140888,3.22136785263848,0.391637614689276,8.22537910510538,1.94574437839589e-16,1.88772105948857e-14
"AT3G16990",333.210011600265,2.21726464499022,0.272059413165205,8.14992805870608,3.64140835086495e-16,3.50141642982059e-14
"AT5G06090",194.073095248776,8.60290982672183,1.05960645240061,8.11896700631765,4.7016830444673e-16,4.48109747431939e-14
"AT1G14520",361.167002383623,2.09979656644891,0.259524327100435,8.090943110841,5.92045042872481e-16,5.61793618532725e-14
"AT4G21440",85.0754479974979,3.93492340440222,0.488495690430992,8.05518550415563,7.9358360909836e-16,7.4325460531788e-14
"AT5G60220",104.903042577505,3.37520232684199,0.419651281485406,8.04287387112237,8.77556414268357e-16,8.18359182012754e-14
"AT4G27520",4710.27257158842,2.02157390259936,0.251828706724945,8.02757528674992,9.9417960218706e-16,9.23136295850517e-14
"AT1G29650.1",78.5165572703246,5.95868119245244,0.745505981742136,7.99280131666803,1.31906616261013e-15,1.21438282672639e-13
